nflweek,gameDate,otyn,roadTeam,rtTotalScore,rtScore1Q,rtScore2Q,rtScore3Q,rtScore4Q,rtScoreOT,rtFirstDowns,rt3DConv,rt3DAtt,rt4DConv,rt4DAtt,rtTYds,rtRushYds,rtPassYds,rtTO,rtSacks,rtPen,rtPenYds,homeTeam,htTotalScore,htScore1Q,htScore2Q,htScore3Q,htScore4Q,htScoreOT,htFirstDowns,ht3DConv,ht3DAtt,ht4DConv,ht4DAtt,htTYds,htRushYds,htPassYds,htTO,htSacks,htPen,htPenYds
8,2016-10-30,N,DET,13,0,3,0,10,0,19,3,11,0,1,289,58,231,0,3,8,75,HOU,20,0,14,3,3,0,20,6,15,1,1,269,105,164,1,1,6,49
8,2016-10-30,N,SD,19,7,0,6,6,0,21,7,17,0,2,369,123,246,3,1,8,52,DEN,27,3,7,7,10,0,15,5,15,0,1,324,57,267,3,4,6,45
8,2016-10-30,N,GB,32,7,17,0,8,0,24,6,10,0,1,331,108,223,0,2,6,68,ATL,33,10,9,7,7,0,25,4,9,1,1,367,90,277,0,3,7,46
8,2016-10-30,Y,PHI,23,3,10,7,3,0,21,6,15,0,0,291,97,194,1,2,5,40,DAL,29,7,3,3,10,6,26,4,14,2,2,460,187,273,1,3,11,84
8,2016-10-31,N,MIN,10,0,3,0,7,0,15,2,13,2,2,258,57,201,0,1,1,10,CHI,20,3,10,7,0,0,19,7,14,0,0,403,245,158,0,5,2,20
9,2016-11-03,N,ATL,43,10,10,13,10,0,31,6,10,0,0,461,136,325,1,3,6,34,TB,28,7,7,0,14,0,23,8,14,1,2,396,73,323,2,2,11,85
9,2016-11-06,N,DAL,35,7,14,14,0,0,29,8,12,2,2,423,168,255,0,4,4,38,CLE,10,3,7,0,0,0,13,1,9,1,1,222,45,177,0,0,5,33
9,2016-11-06,N,JAX,14,0,7,0,7,0,25,5,13,0,2,449,205,244,4,2,5,46,KC,19,7,3,6,3,0,10,1,14,1,1,231,62,169,0,2,8,75
9,2016-11-06,N,NYJ,23,10,3,0,10,0,18,3,11,0,0,332,140,192,2,1,10,77,MIA,27,7,7,6,7,0,20,5,11,0,1,274,137,137,0,3,8,86
9,2016-11-06,Y,DET,22,3,7,0,6,6,18,7,14,0,0,311,97,214,1,2,6,57,MIN,16,0,3,6,7,0,22,6,14,1,2,337,78,259,0,1,8,54
9,2016-11-06,N,PHI,23,3,7,7,6,0,21,3,15,1,4,443,96,347,2,1,4,43,NYG,28,14,7,7,0,0,16,4,13,0,1,302,54,248,2,2,5,30
9,2016-11-06,N,PIT,14,0,0,0,14,0,16,4,16,1,2,277,36,241,1,3,13,99,BAL,21,7,3,3,8,0,13,4,17,0,0,274,50,224,1,2,10,94
9,2016-11-06,N,CAR,13,7,0,0,6,0,16,6,15,0,0,244,59,185,0,4,5,35,LA,10,0,0,0,10,0,18,4,14,2,3,339,59,280,1,5,10,109
9,2016-11-06,N,NO,41,14,17,0,10,0,29,11,17,0,0,571,248,323,0,1,4,40,SF,23,3,17,3,0,0,19,2,9,0,2,486,93,393,4,1,9,78
9,2016-11-06,N,IND,31,14,10,0,7,0,22,7,14,0,0,355,85,270,2,3,4,35,GB,26,10,0,3,13,0,25,4,12,0,0,405,116,289,1,2,4,25
9,2016-11-06,N,TEN,35,0,14,7,14,0,24,5,11,1,1,393,80,313,3,1,8,57,SD,43,9,10,14,10,0,31,5,11,0,0,476,208,268,0,0,14,107
9,2016-11-06,N,DEN,20,0,10,0,10,0,13,3,11,0,1,299,33,266,2,2,12,104,OAK,30,6,14,0,10,0,30,5,14,0,0,397,218,179,0,2,8,72
9,2016-11-07,N,BUF,25,14,3,0,8,0,30,12,17,0,1,425,162,263,1,4,11,115,SEA,31,7,21,0,3,0,19,2,7,0,0,278,33,245,0,5,10,75
10,2016-11-10,N,CLE,7,0,7,0,0,0,11,2,10,0,0,144,33,111,3,2,3,35,BAL,28,0,6,15,7,0,29,7,12,0,0,396,119,277,2,4,6,61
10,2016-11-13,N,GB,25,0,16,9,0,0,21,4,15,2,4,402,69,333,3,2,12,107,TEN,47,21,14,6,6,0,19,7,14,0,1,446,162,284,0,5,7,65
10,2016-11-13,N,DEN,25,7,3,0,15,0,24,11,19,0,0,337,103,234,2,1,1,10,NO,23,0,3,14,6,0,19,4,9,0,0,373,80,293,4,6,3,25
